Id,Division,IsCompagnons,GuestId,Team
cb207fcb0119075fa013840d8e92114d84a1215f36dfb98a78224c41a0fb5039,BIS Services Bâtiments & Infrastructures,NON,,
06a39f554a33ea7a2765f858e40406714b0cc0e574e159e4633287b1969ce80b,BIS Ile de France,NON,,
2e17e08b12f2669c3442ac1d577448859cea8be3ec9d631ed2d152ab22ae0b073be3879b9999ff4a487074437bf956cf,BIS Services Bâtiments & Infrastructures,NON,,
0d1fb2fbd70283e9db4fb72217a151003ddf53528c34166162cc7a403448085f,BIS Services Bâtiments & Infrastructures,NON,,
6a0cafebf4899e83bd8c3dd75d05b109bcccef8fa7ae401ae342fdf619564f43,BIS Services Bâtiments & Infrastructures,NON,,
177f816cd1f3950232408478bed81022e51fb377ff992dadec45f97781d3c3d5,BIS Ile de France,NON,,
5b2a112b155a05a5574a5d0e8502bf5b83ace1e00bd34dc828355faf5ca6ac5b,"Bâtiments, Infrastructures & Services",NON,,
57970d03b840ba2a798cd18286dc2289a08067f6b8c1557e3e2998e3921420d435891a9c2ceeacac2dbd4bec1940472d,Equans France Direction Juridique,NON,,
8d67a17c88c9e054bff9b674a27655778600bee72db8006708abf329e3509bd0,Equans France Direction Générale,NON,,
ebdcaceb9f52e069d0b1bdfdc0c4cc46fe200fba0ce174342b7cbdf98eed2f31,Industries des Procédés,OUI,,
c3419078ba304ab7e6e0c177d6b1876251ae33df5bf430f8eb8c50b53fbcd945,Equans France Direction Générale,NON,,
dd7e30817c924641ab8ac45c855a6ad7c6070fd7e2ad18aa0d54dd7f0192abd7,BIS Nord & Est,OUI,2cc75cd795659d62c087fea1fad89be29ea7a2ba6c78a76d620f46c1f0b7fba9,
49f2add5ddf0597ebe3f7a97997cd0f4eddf40d8d8f4d694663d6e6af1c2f65a,BIS Services Bâtiments & Infrastructures,OUI,,
651d63181ffcb6b0f1819a7ad35ebfab2fba2403e634c4cd3caa42f5f8089ed8,BIS Services Bâtiments & Infrastructures,OUI,,
c2a5004636da9c9884e080f53e0d938cceeb3d8c7376663f29107a7fc890b366,MBU CEDE,OUI,,
e2babadc5831013215d5573a10171764d31f21b508857ce0d900f99b4b881497,Equans France Direction Ressources Humaines,NON,,
0399f64e034242b66776d17c82c3d0e8b27ba2d7dfd3999f97612b0598fa8b16,Villes & Territoires Connectés,OUI,,
c8889a7c5e753dcd6d3f61482732807b4a9363a3c9a9d840524575ad87607cd2,Industries des Procédés,NON,,
07f0f0b2810a214ff317bd6c728a118a9ca8c9506ec953a90da491595aaf4359,Equans France Direction Ressources Humaines,NON,,
bb0f018763bd207425e910aac656fd50bb5e8a18aa04b9ff2e61602169ebc47f,BIS Grand Ouest,OUI,,
7e43d87053788ca5f4338eddbb0df0a3d7a42b1896dbe6b45c0c20de007bc8f1,Industries des Procédés,OUI,,
7f2068078d25db18b1661cc521427743e3620e5c23b1741bcfca7669b38df374,"Infra Ener, Défense Marine Aéronautique, Ingénierie",OUI,c52e2ee807a336783f8bc6756c29d0078a6b54decbf6d8d6510e6f239b30d1a3,
7865be1763ac44116b6194109cda600bc4a75fb6a7943e757b7d3983bd15fa98236fa7954cc5fc3e1ee1246be314c790,Industries des Procédés,NON,,
0170dd6f8a981d2b0b8763fed9c8a7b1d592197eba0930c1ff8e153ccc122879,BIS Nord & Est,OUI,d5d4e4964b9b4fd025db9020829b4abb69477e6fabd73f600be2860bdbbe3652,
c52877b351fad5993104980e0a42f43e84e96ffdb1adcbf802ec56f00a804793,BIS Services Bâtiments & Infrastructures,OUI,,
a9ffe5a44ca58348afab27c579e989592d3ba9b64a9f4b743468252dcdc750e1,BIS Services Bâtiments & Infrastructures,OUI,10d95b55ace2c34592515df92f21c0be0d980be9b2a1ca62110f77d87400bebe,
7c49f065bea4b5dc42b5f1ea1e0db7c1b59c3f001a0af8446f06b39c638b80b5,Equans France Direction Ressources Humaines,NON,,
a9042f8cfc66b25bc82c753258ee127554a62f15b703f5c1ae6a9e0077d9ce4a,BIS Nord & Est,OUI,81120ff6b3a886983e99cc48ccfb2e836e564c4f6aa991faa86ea961e3c04a69,
89e31e2943f02eb5e06bf43dc2f5e9f1eb056909745536a6539602b1a761a4ea,BIS Ile de France,OUI,,
9aa4b98612fcb05db3342c570783713cf746d2ce839eec4d2f86dda168376ff0,BIS Grand Ouest,OUI,3047e89e12e991bc6bb82e7ea10ddf031a445815d97545b6ca0f03d124c99bd0,
b62d56cc8a32091225bb3f98a8893c1161df08151825103167055bb91704a6fe,BIS Ile de France,OUI,813fd6b70abad1e6cfdb183ee6f17f2e489d1b45ccc38f5d31f2d963ff0153c4,
253529c8d038d8f99bfb6901cbf26229465efb87d11725880fce6d61e74c189c,BIS Grand Ouest,OUI,82d72de980d65d8a318b7e8dfec06c0cf1d52e379a7654f03c958476f07929c0,
6633b67dc8dfe0bd36231859420e075778fcda163d21883b51fc7ed740a2fd8c,MBU CEDE,OUI,da0b92331a9023dd97bec4f74d97719db6f768c60ed1f9b365a79f26f618173a,
e9569d7ec579cbd2e7a3cba67a2176a1580b2a47b15c8fc0678467db827fb9ff,BIS Grand Sud,NON,,
407db48e92d83b3750f37a6b569ba27945ded7daa499d4862408086d16604471,BIS Nord & Est,OUI,4ef37930736afaf5dd3401cf1a539b0d4f73ca64b14065a2de84fe6d64caeb34,
fd374a08df430f2502cf305f3f4137b4c9577e557298258df36efc9622380400,Industrie des Procédés,OUI,,
e3153c9a82e9981aa96902f98d797b7139d1bc3e1cee1b9de89c02a34a6c1983,BIS Services Bâtiments & Infrastructures,OUI,,
f98f0099facf576e0cb6adf74b803dbfb77cb50d7261458195b8d5deb01e0cc2,Industries des Procédés,OUI,38c14829207f08959620aabd66aab410a4c55ed102512e846f8813712894a756,
8cb5e5b650abd433c2dcab38219ac0a8530be1930ae2d3b966f703289dd94532,Transport,OUI,,
599eb50f3c931bf1dbd021d0b5f97239ac0059a4fa573ce39e246340e1f81b6e,Industries des Procédés,OUI,,
141f6e6d02e4af3b3acbd3fb6e00352cb73b6bc0fb5cdf24636f528b16878aab,BIS Ile de France,OUI,,
c6c0193e848bcedd57e1293f70c5eab482b945e9a3ded7f95f26475670d9aa72,MBU CEDE,OUI,,
d2c47f05a1ab5cf64dba75e73420f2b4166fc244a697730909caa7545b017861,"Réfrigération, Sécurité Incendie & Décarbonation",OUI,,
50742ebc62bb9bf39691f720daaf2165e9bc8c25b82d7918b776c9aca588c888,BIS Grand Sud,OUI,b90538bad8bf28f5454ee5dabbfb6cf7a725100c81f13e6424eec1ff215867d1,
